chord,start,end
A:min,0.278639454,2.832834449
F:maj,2.879274358,4.876190445
A:min,5.154829899,7.89478453
F:maj,7.941224439,10.123900162
D:min,10.170340071,10.495419434
A:min,10.541859343,13.049614429
F:maj,13.096054338,14.164172245
D:min,14.210612154,15.046530516
F:maj,15.092970425,15.464489697000001
F:maj,15.510929606000001,15.650249333
A:min,15.743129151,18.158004419
F:maj,18.204444328,20.387120051
D:min,20.43355996,20.572879687
A:min,20.619319596,23.080634773
F:maj,23.127074682,25.123990769000002
A:min,25.170430678000002,27.863945400000002
F:maj,27.910385309000002,30.650339940000002
C:maj,30.696779849000002,31.997097301
G:maj,32.043537210000004,33.297414753
F:maj,33.343854662,34.597732205
D:min,34.644172114,35.851609748
A:min,35.898049657,38.312924925000004
F:maj,38.359364834000004,39.47392265
F:maj,40.495600648,40.727800193
A:min,40.820680011,43.328435097
F:maj,43.374875006,45.232471366
D:min,45.278911275,46.068389728
A:min,46.254149364,48.158185633
F:maj,48.204625542,50.062221902000005
A:min,50.573060901,53.266575623
F:maj,53.313015532,55.774330709000004
C:maj,55.820770618000005,57.074648161
G:maj,57.12108807,58.328525704
F:maj,58.374965613,59.721722974
D:min,59.768162883,60.83628079
A:min,60.882720699000004,63.390475785
F:maj,63.436915694,65.712471235
A:min,65.94467078,68.359546048
F:maj,68.405985957,69.6598635
A:min,69.706303409,73.235736493
F:maj,73.282176402,75.46485212500001
A:min,75.51129203400001,78.204806756
F:maj,78.251246665,80.666121933
A:min,80.712561842,83.173877019
F:maj,83.220316928,85.588752287
A:min,85.635192196,88.00362755500001
F:maj,88.05006746400001,90.511382641
C:maj,90.55782255,91.672380366
G:maj,91.718820275,93.019137727
D:maj,93.065577636,94.27301527
A:maj,94.319455179,95.294693268
A:min,95.341133177,95.480452904
C:maj,95.526892813,96.687890538
G:maj,96.734330447,97.5238089
C:maj,97.570248809,97.709568536
D:maj,97.756008445,100.44952316700001
C:maj,100.49596307600001,101.656960801
G:maj,101.70340071,102.864398435
D:maj,102.910838344,104.118275978
A:min,104.164715887,105.41859343
C:maj,105.465033339,106.486711337
G:maj,106.533151246,107.461949426
D:maj,107.508389335,111.22358205500001
A:min,111.27002196400001,112.66321923400001
F:maj,112.70965914300001,114.288616049
D:min,114.335055958,114.70657523
F:maj,114.753015139,115.403173865
A:min,115.449613774,117.910928951
F:maj,117.95736886,119.768525311
D:min,119.81496522,120.372244128
A:min,120.418684037,122.78711939600001
F:maj,122.83355930500001,124.13387675700001
A:min,124.31963639300001,124.83047539200001
A:min,124.969795119,127.756189659
F:maj,127.802629568,130.078185109
C:maj,130.12462501800002,131.610702106
G:maj,131.657142015,132.81813974
F:maj,132.864579649,134.025577374
D:maj,134.072017283,134.6757361
D:min,134.722176009,135.325894826
A:min,135.372334735,137.601450367
F:maj,137.647890276,138.762448092
D:min,138.808888001,140.062765544
F:maj,140.10920545300002,140.24852518
A:min,140.29496508900002,142.663400448
F:maj,142.709840357,144.660316535
D:min,144.706756444,145.217595443
A:min,145.264035352,147.632470711
F:maj,147.67891062,148.979228072
A:min,149.07210789,149.350747344
A:min,149.490067071,152.60154097400002
F:maj,152.647980883,154.969976333
C:maj,155.016416242,156.363173603
G:maj,156.409613512,157.617051146
F:maj,157.663491055,159.010248416
D:min,159.056688325,159.846166778
A:min,159.892606687,162.58612140900001
F:maj,162.632561318,165.09387649500002
A:min,165.140316404,167.508751763
F:maj,167.555191672,169.737867395
A:min,169.784307304,172.477822026
F:maj,172.524261935,174.567617931
A:min,174.61405784000002,177.40045238000002
F:maj,177.446892289,179.72244783
A:min,179.768887739,182.369522643
F:maj,182.415962552,184.552198366
A:min,184.598638275,186.874193816
F:maj,186.92063372500002,189.70702826500002
C:maj,189.753468174,191.007345717
G:maj,191.053785626,192.214783351
D:maj,192.26122326,193.515100803
A:maj,193.561540712,194.676098528
C:maj,194.722538437,195.883536162
G:maj,195.929976071,196.90521416
D:maj,196.951654069,199.69160870000002
C:maj,199.738048609,200.89904633400002
G:maj,200.945486243,202.060044059
D:maj,202.10648396800002,203.453241329
A:min,203.499681238,204.846438599
C:maj,204.892878508,205.125078053
C:maj,205.171517962,205.543037234
C:maj,205.589477143,205.72879687
G:maj,205.775236779,206.843354686
D:maj,206.889794595,209.722629044
F#:min,209.76906895300002,212.09106440300002
D:maj,212.137504312,214.598819489
F#:min,214.645259398,216.967254848
D:maj,217.013694757,219.428570025
D:maj,220.728887477,221.936325111
A:maj,221.98276502000002,223.143762745
E:maj,223.19020265400002,224.49052010600002
F#:min,224.536960015,226.812515556
D:maj,226.858955465,229.366710551
F#:min,229.41315046,231.78158581900001
D:maj,231.828025728,234.10358126900002
B:maj,234.150021178,235.31101890300002
D:maj,235.357458812,236.750656082
A:maj,236.79709599100002,238.004533625
E:maj,238.050973534,239.16553135
B:maj,239.211971259,240.372968984
D:maj,240.419408893,241.533966709
A:maj,241.580406618,242.834284161
E:maj,242.88072407,244.784760339
B:min,244.83120024800002,245.10983970200002
E:maj,245.156279611,245.29559933800002
D:maj,245.342039247,246.59591679000002
A:maj,246.642356699,247.664034697
E:maj,247.71047460600002,248.73215260400002
A:maj,248.778592513,249.47519114800002
A:min,249.521631057,251.564987053
F:maj,251.611426962,252.586665051
A:min,252.63310496,256.441177498
F:maj,256.487617407,258.57741331200003
A:min,259.366891765,261.36380785200004
F:maj,261.410247761,262.757005122
A:min,263.685803302,266.379318024
F:maj,266.425757933,268.840633201
C:maj,268.88707311,270.187390562
G:maj,270.23383047100003,271.34838828700003
F:maj,271.394828196,272.64870573900004
D:maj,272.695145648,273.763263555
A:min,273.809703464,276.271018641
F:maj,276.31745855,278.639454
A:min,278.685893909,281.14720908600003
F:maj,281.193648995,282.586846265
D:min,282.63328617400003,282.865485719
F:maj,282.911925628,283.2834449
A:min,283.329884809,286.023399531
F:maj,286.06983944,288.066755527
A:min,288.113195436,290.94602988500003
F:maj,290.992469794,293.17514551700003
A:min,293.221585426,295.729340512
F:maj,295.77578042100004,298.14421578
A:min,298.190655689,300.419771321
F:maj,300.46621123,303.113286043
C:maj,303.15972595200003,304.320723677
G:maj,304.367163586,305.481721402
D:maj,305.528161311,307.06067830800004
A:min,307.107118217,308.082356306
C:maj,308.128796215,309.243354031
G:maj,309.28979394,310.125712302
D:maj,310.172152211,312.95854675100003
C:maj,313.00498666,314.212424294
G:maj,314.25886420300003,315.419861928
D:maj,315.466301837,316.67373947100003
A:min,316.72017938,317.78829728700003
C:maj,317.834737196,319.08861473900004
G:maj,319.135054648,319.692333556
C:maj,319.738773465,320.063852828
D:maj,320.110292737,320.4353721
